,Job Title,Location,Date,Link,Job Attributes,Job Description
21,Awake Overnights-Teen Living/Parenting-Melrose,"Melrose, MA boston/cambridge/brookline ",Sep 15,https://boston.craigslist.org/gbs/npo/d/melrose-awake-overnights-teen-living/7380656847.html,"
compensation: Centerboard offers competitive salaries and benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Melrose, MA- Teen Living/Parenting Program Family Advocate Opportunity

Full-Time & Part-Time Shifts (Female Candidates)
Hours: 11PM-7AM / 12AM-8AM  

Teen Living/Parenting Program Family Advocate:

The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.
https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a "
22,Awake Overnights-Teen Living/Parenting-Melrose,"Melrose, MA north shore ",Sep 15,https://boston.craigslist.org/nos/npo/d/melrose-awake-overnights-teen-living/7380655545.html,"
compensation: Centerboard offers competitive salaries and benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Melrose, MA- Teen Living/Parenting Program Family Advocate Opportunity

Full-Time & Part-Time Shifts (Female Candidates)
Hours: 11PM-7AM / 12AM-8AM  

Teen Living/Parenting Program Family Advocate:

The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.
https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a "
23,Teen Parenting Program Family Advocate- Melrose,"Melrose, MA north shore ",Sep 15,https://boston.craigslist.org/nos/npo/d/melrose-teen-parenting-program-family/7380653487.html,"
compensation: Centerboard offers competitive salaries and benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Family Advocate – Melrose (Flexible afternoon, evening and overnight shifts available)

Centerboard is offering an opportunity to work in a supportive environment with flexible scheduling, full benefits with afternoon, weekend and overnight shifts available.  If you are looking for a second job or to get back into the workforce, change of career or have experience or a desire to work with children and teen moms please consider applying to Centerboard Teen Parenting Program.  This position offers paid training and participates in the Public Service Student Loan Forgiveness Program. 

 General Summary Family Advocate:

The primary focus of the Family Advocate is to provide support and services to the youth population served in a well-defined and coordinated manner. Each Family Advocate will work collaboratively to manage a case load of residential families. The Family Advocate will also be responsible as part of the team or while alone on shift, for the safety of all residents and the facility.
Essential Job Functions: 
•Research community based services and resources in the area that could be beneficial for residents and their children as needed. 
•Maintain and model healthy relationships and confidentiality with residents as well as coworkers. 
•Demonstrate the ability to manage through crisis situations with residents and their children in a timely and appropriate manner.
•Oversee each resident family’s participation in shared chore responsibility, assist and train where needed.
•Maintain awareness of physical facility maintenance and unit furnishings; report any concerns to Program Director or through existing documentation process. 
•Support incoming families with all immediate needs (i.e. food, clothing, hygiene products, medical appointments, etc.).
•Conduct intake with new residents including house tour and orientation, gathering of important resident information and documentation, fridge and cabinet location, daily check in and out procedures, chore responsibilities, location of important documents and memos, etc. 
•Provide comprehensive family life advocacy to include but not be limited to:
o	Assisting with benefit acquisition and use of benefits
o	Providing for and facilitating group workshops and skill building sessions in the areas of: parenting, budget and housing, family management, education/employment, independent living skills, life skills and nutrition. 
o	Facilitating housing search process: completing and sending out housing applications.

Qualified candidates, apply via the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a&selectedMenuKey=CareerCenter

"
24,Teen Parenting Program Family Advocate- Melrose,"Melrose, MA boston/cambridge/brookline ",Sep 15,https://boston.craigslist.org/gbs/npo/d/melrose-teen-parenting-program-family/7380651933.html,"
compensation: Centerboard offers competitive salaries and benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Family Advocate – Melrose (Flexible afternoon, evening and overnight shifts available)

Centerboard is offering an opportunity to work in a supportive environment with flexible scheduling, full benefits with afternoon, weekend and overnight shifts available.  If you are looking for a second job or to get back into the workforce, change of career or have experience or a desire to work with children and teen moms please consider applying to Centerboard Teen Parenting Program.  This position offers paid training and participates in the Public Service Student Loan Forgiveness Program. 

 General Summary Family Advocate:

The primary focus of the Family Advocate is to provide support and services to the youth population served in a well-defined and coordinated manner. Each Family Advocate will work collaboratively to manage a case load of residential families. The Family Advocate will also be responsible as part of the team or while alone on shift, for the safety of all residents and the facility.
Essential Job Functions: 
•Research community based services and resources in the area that could be beneficial for residents and their children as needed. 
•Maintain and model healthy relationships and confidentiality with residents as well as coworkers. 
•Demonstrate the ability to manage through crisis situations with residents and their children in a timely and appropriate manner.
•Oversee each resident family’s participation in shared chore responsibility, assist and train where needed.
•Maintain awareness of physical facility maintenance and unit furnishings; report any concerns to Program Director or through existing documentation process. 
•Support incoming families with all immediate needs (i.e. food, clothing, hygiene products, medical appointments, etc.).
•Conduct intake with new residents including house tour and orientation, gathering of important resident information and documentation, fridge and cabinet location, daily check in and out procedures, chore responsibilities, location of important documents and memos, etc. 
•Provide comprehensive family life advocacy to include but not be limited to:
o	Assisting with benefit acquisition and use of benefits
o	Providing for and facilitating group workshops and skill building sessions in the areas of: parenting, budget and housing, family management, education/employment, independent living skills, life skills and nutrition. 
o	Facilitating housing search process: completing and sending out housing applications.

Qualified candidates, apply via the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a&selectedMenuKey=CareerCenter

"
25,Teen Parenting Spanish Speaking Advocate- Chelsea,"Chelsea, MA boston/cambridge/brookline ",Sep 15,https://boston.craigslist.org/gbs/npo/d/chelsea-teen-parenting-spanish-speaking/7380649647.html,"
compensation: Centerboard offers competitive salaries and benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Family Advocate – Chelsea (Flexible afternoon, evening and overnight shifts available)

Centerboard is offering an opportunity to work in a supportive environment with flexible scheduling, full benefits with afternoon, weekend and overnight shifts available.  If you are looking for a second job or to get back into the workforce, change of career or have experience or a desire to work with children and teen moms please consider applying to Centerboard Teen Parenting Program.  This position offers paid training and participates in the Public Service Student Loan Forgiveness Program. 

 General Summary Family Advocate:

The primary focus of the Family Advocate is to provide support and services to the youth population served in a well-defined and coordinated manner. Each Family Advocate will work collaboratively to manage a case load of residential families. The Family Advocate will also be responsible as part of the team or while alone on shift, for the safety of all residents and the facility.
Essential Job Functions: 
•Research community based services and resources in the area that could be beneficial for residents and their children as needed. 
•Maintain and model healthy relationships and confidentiality with residents as well as coworkers. 
•Demonstrate the ability to manage through crisis situations with residents and their children in a timely and appropriate manner.
•Oversee each resident family’s participation in shared chore responsibility, assist and train where needed.
•Maintain awareness of physical facility maintenance and unit furnishings; report any concerns to Program Director or through existing documentation process. 
•Support incoming families with all immediate needs (i.e. food, clothing, hygiene products, medical appointments, etc.).
•Conduct intake with new residents including house tour and orientation, gathering of important resident information and documentation, fridge and cabinet location, daily check in and out procedures, chore responsibilities, location of important documents and memos, etc. 
•Provide comprehensive family life advocacy to include but not be limited to:
o	Assisting with benefit acquisition and use of benefits
o	Providing for and facilitating group workshops and skill building sessions in the areas of: parenting, budget and housing, family management, education/employment, independent living skills, life skills and nutrition. 
o	Facilitating housing search process: completing and sending out housing applications.

Qualified candidates, apply via the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a&selectedMenuKey=CareerCenter "
26,"Volunteer Administrative Coordinator, Fulltime Days", metro west ,Sep 15,https://boston.craigslist.org/bmw/npo/d/boston-volunteer-administrative/7380646944.html,"
compensation: 21.00 per hour

employment type: full-time

","

QR Code Link to This Post


SCHEDULE: 40 hours, Sunday 8:30am-5pm – Monday-Thursday, 10:00 a.m. - 6:30 p.m includes Thanksgiving and Christmas

PAY: $21.00 hourly

JOB DESCRIPTIONS:

The Volunteer Administrative Coordinator will manage the scheduling and data management for our volunteer groups and individuals throughout Pine Street Inn programs. The Volunteer Administrative Coordinator will be primarily responsible for responding to inquiries (email and phone),confirming/communicating with volunteer groups and maintain accurate data touchpoints for all volunteer inquires.. The incumbent will assist with all volunteer service events including daily volunteer activities. and donor events..

REQUIREMENTS:

EDUCATION/TRAINING:             

 Bachelor’s Degree
Minimum of one (1) year experience working with volunteers or donors in a non-profit setting
Proficient in Microsoft Office Suite
Experience managing multiple schedules and tasks  
Experience working in a professional role where attention to detail is prevalent
Communication skills including excellent writing, public speaking and proofreading skills 
Excellent customer service skills  
Must have impeccable phone/email manner
Experience in a professional role with a prevalence in multitasking and prioritization
Ability to market Pine Street Inn’s volunteer programs by always representing the Inn in a professional manner both internally and externally 
PHYSICAL ABILITIES/SKILLS:           

High energy level and ability to provide building tours
Ability to stand/sit/walk for long periods of time
Ability to climb stairs and move quickly
Ability to lift 50 lbs.
MENTAL ABILITIES/SKILLS:          

Demonstrated ability to multitask through planning and organizing tasks
Ability to provide excellent customer service to both external and internal partners
Must be able to manage several projects at one time 
Ability to work independently and with a team
Ability to work effectively in a very busy office environment  
Ability to maintain relationships with many groups and individuals simultaneously
Ability to effectively communicate with a diverse population
PREFERRED:              

Raiser’s Edge database experience 
 ESSENTIAL FUNCTIONS INCLUDE BUT ARE NOT LIMITED TO: 

The Volunteer Administrative Coordinator is an essential member of a team of professionals responsible for all fundraising, donor activities, communications and volunteer programs at the Inn.
Assist in the recruitment, scheduling, training and placement of volunteers throughout the Inn. 
Manage administrative duties and maintain volunteer related records and statistics, including data entry. This includes processing all on-line and paper applications and assisting with the follow-up as needed. 
Maintain and distribute monthly volunteer calendars. Communicate effectively with development and program staff about group and individual volunteer scheduling. 
Coordinate and oversee the orientation process for new individual volunteers. 
Assists with the planning, scheduling and event management of the holiday service events. The Coordinator will also oversee the holiday gift program. It required that the Volunteer Coordinator will work Thanksgiving and Christmas Day. 
Master and become a super user of new volunteer database platform for applicant submission and tracking 
Communicate and address any incidents or issues relating to volunteers, donors, visitors or staff. 
Attend and staff all Pine Street Inn fundraising events as requested by supervisor. 
Attend all mandated trainings as required by Human Resources. 
Perform other additional assignments or projects as requested by supervisor.
Apply At: https://www.pinestreetinn.org/careers

"
27,Teen Parenting Spanish Speaking Advocate- Chelsea,"Chelsea, MA north shore ",Sep 15,https://boston.craigslist.org/nos/npo/d/chelsea-teen-parenting-spanish-speaking/7380641637.html,"
compensation: Centerboard offers competitive salaries and benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Family Advocate – Chelsea (Flexible afternoon, evening and overnight shifts available)

Centerboard is offering an opportunity to work in a supportive environment with flexible scheduling, full benefits with afternoon, weekend and overnight shifts available.  If you are looking for a second job or to get back into the workforce, change of career or have experience or a desire to work with children and teen moms please consider applying to Centerboard Teen Parenting Program.  This position offers paid training and participates in the Public Service Student Loan Forgiveness Program. 

 General Summary Family Advocate:

The primary focus of the Family Advocate is to provide support and services to the youth population served in a well-defined and coordinated manner. Each Family Advocate will work collaboratively to manage a case load of residential families. The Family Advocate will also be responsible as part of the team or while alone on shift, for the safety of all residents and the facility.
Essential Job Functions: 
•Research community based services and resources in the area that could be beneficial for residents and their children as needed. 
•Maintain and model healthy relationships and confidentiality with residents as well as coworkers. 
•Demonstrate the ability to manage through crisis situations with residents and their children in a timely and appropriate manner.
•Oversee each resident family’s participation in shared chore responsibility, assist and train where needed.
•Maintain awareness of physical facility maintenance and unit furnishings; report any concerns to Program Director or through existing documentation process. 
•Support incoming families with all immediate needs (i.e. food, clothing, hygiene products, medical appointments, etc.).
•Conduct intake with new residents including house tour and orientation, gathering of important resident information and documentation, fridge and cabinet location, daily check in and out procedures, chore responsibilities, location of important documents and memos, etc. 
•Provide comprehensive family life advocacy to include but not be limited to:
o	Assisting with benefit acquisition and use of benefits
o	Providing for and facilitating group workshops and skill building sessions in the areas of: parenting, budget and housing, family management, education/employment, independent living skills, life skills and nutrition. 
o	Facilitating housing search process: completing and sending out housing applications.

Qualified candidates, apply via the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a&selectedMenuKey=CareerCenter "
28,Part Time School Liaison-Lynn,Lynn north shore ,Sep 15,https://boston.craigslist.org/nos/npo/d/lynn-part-time-school-liaison-lynn/7380640141.html,"
compensation: Centerboard offers competitive pay, benefits and time off.

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Part Time -Family Resource Center- School Liaison

The School Liaison serves as a resource to families, schools and community to improve overall student attendance and graduation rates, reducing truancy rates, identifying systemic issues, barriers, trends and needs, networking to offer a vast array of services for families, particularly those involved in the Child Requiring Assistance. The FRC School Liaison will also work closely with local school districts to help family members navigate through educational/school-related concerns and needs, and work with school districts to identify families that may be in need of the FRC’s support services. This position requires a BA degree in Education, Phycology , Human Services or another affiliated field. This position will require up to 20 hours per week with a flexible schedule that meets the needs for the services.

ESSENTIAL JOB FUNCTIONS*
• Work closely with local school districts to help families navigate through educational/school-related concerns and needs.
• Work with school districts to identify families that may be in need of FRC’s supportive services.
• Responsible for inputting intake information into the database for each family and/or youth who receives services.
• Have a strong presence in the schools and make connections.
• Outreach with hopes to build strong ties with school’s Homeless Liaison’s and Social workers.
• Hold and Run education trainings for parents and youth.
• Work Closely with Family Partner and Clinician on creating Family Plans.
• Attend FRC trainings as needed
• Have a presence in the Lynn and Salem Juvenile Court.
• Required to plan and lead program groups including, but not limited to: educational, counseling, support, recreational and financial literacy.
• Work with the FRC team to ensure program contract requirements are being met.
• Complete all documentation in a timely manner.
• Work with the FRC team to ensure timely and complete collection and analysis of data

Please apply via the link below if you enjoy working with people, a flexible work environment and want to make a difference.
Centerboard is a nonprofit organization that coordinates services with families in the north shore area. Centerboard assists our clients/families with housing, job search, ESOL, financial coaching, tax preparation and many other services. Learn more about who we are and what we do at Centerboard by visiting us at www.thecenterboard.org

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a "
29,Program Director Teen Parenting Melrose,"Melrose, MA north shore ",Sep 15,https://boston.craigslist.org/nos/npo/d/melrose-program-director-teen-parenting/7380636931.html,"
compensation: Centerboard offers competitive pay, benefits and time off.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Program Director for Youth Services

The position will be responsible for the oversight and coordination of the Teen Living Programs, in collaboration with other Centerboard Teen Parent and Youth Programs, to ensure that the staff and program participants function fluently and according to program policy and procedures. 

ESSENTIAL JOB FUNCTIONS*
Organization Responsibilities:
•	Ability to work with youth or youth and families in a changing setting which may include transitional care and aftercare outreach.
•	Obtain required training for agency and position (mandatory trainings listed below), including a multi-cultural awareness training
•	Required to use personal vehicle, when Centerboard vehicle is not available, to meet and fulfill agency and programmatic needs.
•	Demonstrated understanding and ability to respond to situations using the model of Trauma Informed Care and Behavior Management responses.
•	 Provide leadership and act as a role model for staff and residents.
•	Work with the Assistant Clinical Director of Youth Services, the Director of Youth Services and HR to ensure that all staff receives mandated trainings and are appropriately certified.
•	Participate and engage in weekly supervision with the Assistant Clinical Director of Youth Services.
•	Communicate all staffing concerns and associated documentation to Human Resources in a timely manner. 
•	Responsible for the documentation and implementation of staffing corrective action and development plans.  
•	Participate in staffing recruitment and hiring in conjunction with the Assistant Clinical Director of Youth Services and HR.
•	Complete and oversee the completion of employee annual evaluations.
•	Participate in on-call rotation.
•	Attend or lead meetings such as staff meetings, leadership, supervisors, critical case review and any other meetings that may be required as part of communication of concerns of clients to ensure a collaborative approach to addressing their special needs.
•	Work closely with other Program Directors and staffing teams making sure that communication and collaboration are adhered to and that resources are shared to benefit all programs.
•	Champion and participate in mutual support of Youth Services training and coordination of continuity of policies, procedures and best practices among programs.

Programmatic Functions:
•	Collaborate referral and admission process with the Department of Children and Families and Department of Transitional Assistance.
•	Comply at all times with federal, state and local regulations and requirements.  
•	Develop and maintain community-based affiliations/relationships for family and program supports.
•	Fiscal responsibilities include, but are not limited to: completion of monthly billing reports, purchasing of programmatic supplies, oversight of petty cash, handling incoming and outgoing resident program fees, and understanding and implementation of program budgets.
•	Administrative leadership responsibilities include, but are not limited to: conducting weekly staff supervisions, providing case management support, facilitating weekly program staff meetings, maintaining staff schedules and requested time-off to minimize the use of overtime, coordination of continuum of care provided by family advocates to residents across all Teen Parent Programs, and facilitating monthly resident house meetings.
•	Coordination and implantation of resident groups facilitated by in-house staff as well as outside resources. 
•	Ensure that all facility and IT concerns are communicated to maintenance in a timely manner and follow up upon to ensure completion.  Address any safety and health concerns immediately.  
•	Ensure new staff is properly oriented to the program(s) and provide on-going internal and opportunities for outside trainings to program staff.

COMPETENCIES AND QUALIFICATIONS
Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. 

Bachelor’s degree or some college preferred or at least 5 years’ experience working with individuals developing independent living skills or residential care required.  Previous supervisory skills and a valid driver’s license needed. Qualified candidates must possess strong communication and organization skills and be a willing participant in Centerboard multicultural awareness and equity and inclusion work.

Centerboard’s mission is to revitalize our community by investing in its people and places. We support families and young people through housing, access to employment, education and financial empowerment. Visit us at www.thecenterboard.org
If you enjoy working in a flexible environment and helping others please apply to the posting via the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a&ccId=19000101_000001&jobId=409898&source=CC2&lang=en_US&selectedMenuKey=CareerCenter

"
30,"Mobile Overnight Counselor, Full Time Evenings", metro west ,Sep 15,https://boston.craigslist.org/bmw/npo/d/jamaica-plain-mobile-overnight/7380635058.html,"
compensation: 17.00-18.00 per hour

employment type: full-time

","

QR Code Link to This Post


SCHEDULE: 40 hours, Sunday – Thursday, 5:00pm -1:30am

PAY: $17.00 - $18.00 hourly

JOB DESCRIPTION:

The Mobile Overnight Counselor will be assigned on a nightly basis to the General Lodging locations with the greatest level of need for overnight staff due to health or behavioral challenges within the house.  Mobile Overnight Counselors are also a part of the on-call emergency response team, and as such will frequently be called to leave their assigned building to respond to a request for help elsewhere. The Mobile Overnight Counselor will provide an awake night time presence, doing regular rounds throughout the building, being available to tenants as necessary, assisting with regular daily tenant wellness checks, observing and upholding the rights of tenants, overseeing occupancy agreement and house rule compliance, setting limits when appropriate, and providing crisis intervention as necessary. Mobile Overnight Counselors will contribute to the physical upkeep of the building by noting any housekeeping or maintenance issues that arise during their shift, resolving these problems themselves as possible and forwarding concerns on to appropriate staff. The Mobile Overnight Counselor will assist with organizing and maintaining required resources and tools at each building. 

Occasional daytime availability will be required for trainings; court proceedings, meetings and other obligations. This person will be an important member of a team, which has as its goal assisting our tenants to achieve the very highest possible quality of life. 

REQUIREMENTS:

EDUCATION/TRAINING:

High School diploma or GED
Valid MA driver’s license and access to a personal vehicle                        
Computer literacy: Outlook, Word and Excel
KNOWLEDGE/EXPERIENCE

Excellent written communication skills
Minimum six (6) months experience working with people who have been homeless and/or six (6) months experience working with people with substance use disorder and/or mental health challenges
PHYSICAL ABILITIES/SKILLS

Ability to lift heavy objects (50lbs)
Ability to climb several flights of stairs repeatedly over a single shift
Ability to respond quickly to emergencies
Ability to walk up to one mile as necessary to access any property in any weather
Ability to access and travel between all PSH General Lodging Locations 
MENTAL ABILITIES/SKILLS 

Excellent interpersonal skills
Ability to work with a diverse population
A desire to work with formerly homeless and indigent individuals
Self-motivated
Ability to remain alert and responsive during overnight hours
Ability to respond in crisis, to set limits and to mediate disputes
Well organized; follow through on scheduled tasks
Ability to assess and respond to situations involving health and security related risks and crises.
Ability to communicate information both verbally and via e-mail in a clear and concise manner
Ability to work independently and to handle authority appropriately, positively deal with stress and juggle multiple priorities simultaneously 
PREFERRED:

Bachelor’s degree
Bilingual English/Spanish 
Knowledge of Crisis-Intervention Techniques, CPR/FA Certification
Experience providing detailed documentation
Experience working with people who have been homeless
ESSENTIAL FUNCTIONS INCLUDE BUT ARE NOT LIMITED TO: 

Review all related email correspondence, and tenant files to stay up to date with the needs of individual tenants and particular house since last assigned there.
When required, travel between sites to respond to urgent situations in other locations.
Communicate regularly with supervisor and other staff of the residence, perform wellness checks and report observations via E-mail system.    Provide clear, concise documentation of encounters with tenants. Observe all policies and procedures related to the health and safety of the tenants.
Be available to represent PSI and the Supportive Housing Department in the Housing and Criminal Court system in conjunction with Supervisory staff.
Due to emergency or unforeseen program needs, staff may be temporarily or permanently reassigned to another PSI Housing program at any given time.
Be available during the day as necessary to attend required trainings, meetings, legal proceedings.
Communicate regularly with supervisor and other staff of the residence. Perform wellness checks and report observations via e-mail system.    Provide clear, concise documentation of encounters with tenants.
Assess and respond appropriately to emergency situations. Use emergency phone tree, and complete incident reports as necessary.
Assist tenants as required for bed bug remediation as outlined by PSI Bed Bug Policy.
Assist with emergency housekeeping as needed, including the cleaning of bodily fluids.
Report maintenance emergencies as well as routine maintenance needs through the appropriate channels.
Oversee compliance with occupancy agreements and house rules. Monitor tenants and their guests who are awake and active in the house. Make regular rounds through the building; ensure all entrances are secure. Act to ensure a safe and comfortable living environment.
Provide awake and alert overnight coverage, performing rounds, and monitoring all common areas of the building.
Promote social integration and cooperative problem solving.
Uphold the rights of all tenants.  Be continually aware of these rights and act in accordance with these rights. Interact with tenants in ways which establish a climate of respect for human dignity
Be available to tenants, many of whom have chronic substance abuse and/or mental or physical health issues - using creativity and perseverance when necessary to engage the most difficult to reach.
Work with tenants on activities of daily living (ADL’s) and other means of enhancing quality of life and ability to live independently.
Maintain a positive and professional relationship with the neighbors, community members, involved family members, colleagues and funding sources.
Observe main entrance, ensure that all who enter are allowed to enter and follow required sign-in protocol.
Participate in all mandatory trainings and other trainings relevant to job description and those that will enhance ability to assist tenants in maintaining and enhancing their quality of life.
Complete other duties and projects as assigned by Supervisor.
Other duties as assigned in order to meet the needs of the organization during the COVID-19 pandemic or other public health or weather emergency.
Apply at: https://www.pinestreetinn.org/careers "
